item,itemLabel,startDate,endDate
Q6700266,Luis Alberto Flores Asturias,1996-01-14,2000-01-14
Q6299801,Juan Francisco Reyes López,2000-01-14,2004-01-14
Q15627573,Eduardo Stein Barillas,2004-01-14,2008-01-14
Q521543,José Rafael Espada,2008-01-14,2012-01-14
Q590736,Roxana Baldetti,2012-01-14,2015-05-08
Q19914009,Alejandro Maldonado Aguirre,2015-05-14,2015-09-03
Q20978204,Juan Alfonso Fuentes Soria,2015-09-16,2016-01-14
Q20742949,Jafeth Cabrera,2016-01-14,2020-01-14
Q64696643,Guillermo Castillo,2020-01-14,
