pageid,title,wikidata,label
57317435,María Consuelo Porras,Q52577583,María Consuelo Porras
58084446,Alejandro Giammattei,Q2134696,Alejandro Giammattei
61068099,Guillermo Castillo Reyes,Q64696643,César Guillermo Castillo Reyes
69058810,Shirley Rivera,Q108929476,Shirley Rivera
69565534,Henry Reyes Chigua,Q110227649,Henry Reyes Chigua
69880347,Mario Búcaro,Q110684398,Mario Búcaro
