position,title
Q6085537,President
Q5340773,Vice President
Q110183882,"Minister of Agriculture, Livestock and Food"
Q110183884,"Minister of Communications, Infrastructure, and Housing"
Q110183885,Minister of Culture and Sports
Q110183913,Minister of the Economy
Q110183948,Minister of Education
Q64210871,Minister of Energy and Mines
Q110183883,Minister of Environment and Natural Resources
Q25241973,Minister of Foreign Affairs
Q110184021,Minister of Health and Social Assistance
Q110184012,Minister of the Interior
Q110184032,Minister of Labour and Social Welfare
Q108730956,Minister of National Defence
Q110184001,Minister of Public Finance
Q110183900,Minister of Social Development
Q4818641,Attorney General
Q6594745,President of the Congress
Q16621777,President of the Central Bank
Q5848554,Chief of Defence Staff
