wdid,name,wdLabel,source,sourceDate,pid,position,startDate,endDate,psid
Q110184165,Oliverio García Rodas,Oliverio García Rodas,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110184012,Minister of the Interior,2020-06-04,2020-11-03,Q110184165-F656ACAD-4C24-49FD-92F3-2E91F4B312FD
Q110184166,Claudia Haydée Díaz León,Claudia Haydée Díaz León,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110184012,Minister of the Interior,2020-11-03,2020-11-19,Q110184166-BF8C668A-C41F-4556-A5DB-594CB9C998D1
Q110184167,Gendri Reyes Mazariegos,Gendri Reyes Mazariegos,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110184012,Minister of the Interior,2020-11-19,2022-01-25,Q110184167-C0990AA8-BCDD-47DB-991A-4996E9560A07
Q110184168,Hugo Monroy Castillo,Hugo Monroy Castillo,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110184021,Minister of Public Health and Social Assistance,2020-01-14,2020-06-19,Q110184168-8A239467-C2B5-439C-92CB-4CC8568F19A4
Q110184169,María Amelia Flores,María Amelia Flores,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110184021,Minister of Public Health and Social Assistance,2020-06-19,2021-09-16,Q110184169-58EAFA18-FF9C-4E01-A036-5E9A9184602E
Q110184170,Francisco Coma Martín,Francisco Coma Martín,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110184021,Minister of Public Health and Social Assistance,2021-09-16,,Q110184170-2A67D20F-F920-4ED2-B8CD-E2F10E671E92
Q110184171,Rafael Lobos Madrid,Rafael Lobos Madrid,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110184032,Minister of Labor and Social Welfare,2020-01-14,2020-07-01,Q110184171-30B9DC90-5B5B-4CDE-B865-ECB73A048B1B
Q110184172,Rafael Rodríguez Pellecer,Rafael Rodríguez Pellecer,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110184032,Minister of Labor and Social Welfare,2020-07-01,,Q110184172-5B260C24-24D9-469B-ABF3-7B68E77CBCBC
Q110227649,Henry Yovani Reyes Chigua,Henry Reyes Chigua,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q108730956,Minister of National Defense,2021-12-21,,Q110227649-46DC8F8F-C376-4895-8E89-468993FCC9A8
Q110684398,Mario Búcaro,Mario Búcaro,,,Q25241973,Minister of Foreign Affairs,2022-02-01,,Q110684398-E3B9E81D-17A1-4318-A663-E97E5FCCBF8D
Q111199924,Janio Rosales Alegría,Janio Rosales Alegría,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110183913,Minister of Economy,2022-03-11,,Q111199924-8F3A2973-C6AE-44E7-A7A2-736595FEE994
Q111747676,David Napoleón Barrientos Girón,David Napoleón Barrientos Girón,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110184012,Minister of the Interior,2022-01-25,,Q111747676-505310BD-CD39-442E-9C72-7B5096BAF939
Q2134696,Alejandro Giammattei,Alejandro Giammattei,,,Q6085537,President of the Republic of Guatemala,2020-01-14,,Q2134696-5070dae0-51d0-45a3-9b11-6b78d3030473
Q64696643,César Guillermo Castillo Reyes,César Guillermo Castillo Reyes,,,Q5340773,Vice President of Guatemala,2020-01-14,2024-01-14,Q64696643-8785d148-43e0-8240-3ed8-2ade4263bad7
Q66381168,Pedro Brolo Vila,Pedro Brolo,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q25241973,Minister of Foreign Affairs,2020-01-14,2022-01-31,Q66381168-AE3FCC80-83A0-462A-8AAD-15E74FCE384E
Q83877495,Juan Carlos Alemán Soto,Juan Carlos Alemán Soto,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q108730956,Minister of National Defense,2020-01-14,2021-12-21,Q83877495-F5CB9486-8A93-4023-8BAC-70B786CE93C2
