wdid,name,wdLabel,source,sourceDate,pid,position,startDate,endDate,psid
Q106615484,Edgar Godoy Samayoa,Edgar Godoy Samayoa,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110184012,Minister of the Interior,2020-01-14,2020-06-04,Q106615484-A2048584-EA2B-45F6-9C5C-B561B44359B7
Q110184151,Óscar Bonilla,Óscar Bonilla,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110183882,"Minister of Agriculture, Livestock and Food",2020-01-14,2020-04-14,Q110184151-D62F7E29-DB93-4F3E-A30C-676C0FCD1971
Q110184153,José Ángel López,José Ángel López,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110183882,"Minister of Agriculture, Livestock and Food",2020-04-14,,Q110184153-78BC2B85-B268-4E77-BA08-0470DA51D988
Q110184154,Mario Rojas Espino,Mario Rojas Espino,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110183883,Minister of Environment and Natural Resources,2020-01-14,,Q110184154-9F4C5B57-9FC8-40C7-85C5-64338C25FA71
Q110184155,José Lemus Cifuentes,José Lemus Cifuentes,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110183884,"Minister of Communications, Infrastructure and Housing",2020-01-14,2021-06-29,Q110184155-6DE881E9-A179-4BBF-A4F9-87BC279F48B2
Q110184156,Javier Maldonado Quiñónez,Javier Maldonado Quiñónez,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110183884,"Minister of Communications, Infrastructure and Housing",2021-07-01,,Q110184156-5EE928F2-0AF7-403C-A547-5B4E84D82927
Q110184157,Lidiette Martínez Cayetano,Lidiette Martínez Cayetano,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110183885,Minister of Culture and Sports,2020-01-14,2020-09-10,Q110184157-55D19E57-C14D-4187-B6C9-99B3C03C19BA
Q110184158,Felipe Aguilar Marroquín,Felipe Aguilar Marroquín,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110183885,Minister of Culture and Sports,2020-09-10,,Q110184158-EBD9A0CF-B389-4679-94E9-A973B96086EB
Q110184159,Raúl Romero Segura,Raúl Romero Segura,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110183900,Minister of Social Development,2020-01-14,,Q110184159-3CCDFC95-9A48-45BE-A5BE-566675A82014
Q110184160,Antonio Malouf Morales,Antonio Malouf Morales,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110183913,Minister of Economy,2020-01-14,2022-03-11,Q110184160-BA5054D5-21BF-4D4A-B4A7-B4116BDB2F34
Q110184161,Claudia Ruiz Casasola,Claudia Ruiz Casasola,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q110183948,Minister of Education,2020-01-14,,Q110184161-9BADD455-C81E-4F87-9833-881F9D435B03
Q110184162,Alberto Pimentel Mata,Alberto Pimentel Mata,https://en.wikipedia.org/wiki/Cabinet_of_Alejandro_Giammattei,2022-04-28,Q64210871,Minister of Energy and Mines,2020-01-14,,Q110184162-0205F0C5-7A17-4D95-AFEF-E2151FA898A7
Q110184164,Álvaro González Ricci,Álvaro González Ricci,,,Q110184001,Minister of Public Finance,2020-01-14,,Q110184164-515503F1-168E-45A9-9976-B25220DB5DE8
