@@,wdid,name,position,startdate,enddate
---,Q64696643,César Guillermo Castillo Reyes,Vice President of Guatemala,2020-01-14,2024-01-14
---,Q2134696,Alejandro Giammattei,President of the Republic of Guatemala,2020-01-14,
