item,itemLabel,startDate,endDate
Q17995752,Clemente Marroquín Rojas,1966-07-01,1970-07-01
Q17612351,Eduardo Cáceres Lenhoff,1970-07-01,1974-07-01
Q1808196,Mario Augusto Sandoval Alarcón,1974-07-01,1978-07-01
Q2476428,Francisco Villagrán Kramer,1978-07-01,1980-09-01
Q293391,Óscar Mendoza Azurdia,1980-09-01,1982-03-23
Q3660560,Roberto Carpio Nicolle,1986-01-14,1991-01-14
Q887440,Gustavo Adolfo Espina Salguero,1991-01-14,1993-06-01
Q715308,Arturo Herbruger Asturias,1993-06-18,1996-01-14
Q6700266,Luis Alberto Flores Asturias,1996-01-14,2000-01-14
Q6299801,Juan Francisco Reyes López,2000-01-14,2004-01-14
Q15627573,Eduardo Stein Barillas,2004-01-14,2008-01-14
Q521543,José Rafael Espada,2008-01-14,2012-01-14
Q590736,Roxana Baldetti,2012-01-14,2015-05-08
Q19914009,Alejandro Maldonado Aguirre,2015-05-14,2015-09-03
Q20978204,Juan Alfonso Fuentes Soria,2015-09-16,2016-01-14
Q20742949,Jafeth Cabrera,2016-01-14,2020-01-14
Q64696643,Guillermo Castillo,2020-01-14,
