@@,itemlabel,item,startdate,enddate
+++,Clemente Marroquín Rojas,Q17995752,1966-07-01,1970-07-01
+++,Eduardo Cáceres Lenhoff,Q17612351,1970-07-01,1974-07-01
+++,Mario Augusto Sandoval Alarcón,Q1808196,1974-07-01,1978-07-01
+++,Francisco Villagrán Kramer,Q2476428,1978-07-01,1980-09-01
+++,Óscar Mendoza Azurdia,Q293391,1980-09-01,1982-03-23
->,Roberto Carpio->Roberto Carpio Nicolle,Q3660560,1986-01-14,1991-01-14
+++,Arturo Herbruger Asturias,Q715308,1993-06-18,1996-01-14
+++,Luis Alberto Flores Asturias,Q6700266,1996-01-14,2000-01-14
->,Eduardo Stein->Eduardo Stein Barillas,Q15627573,2004-01-14,2008-01-14
->,Rafael Espada->José Rafael Espada,Q521543,2008-01-14,2012-01-14
+++,Alejandro Maldonado Aguirre,Q19914009,2015-05-14,2015-09-03
->,Jafeth Cabrera Franco->Jafeth Cabrera,Q20742949,2016-01-14,2020-01-14
->,César Guillermo Castillo Reyes->Guillermo Castillo,Q64696643,2020-01-14,2024-01-14
