@@,wdid,name,position
->,Q83877495,Juan Carlos Alemán Soto,Minister of National Defence of Guatemala->Minister of National Defense
->,Q66381168,Pedro Brolo->Pedro Brolo Vila,Minister of Foreign Affairs
->,Q110184172->NULL,Rafael Rodríguez Pellecer,Minister of Labour and Social Welfare of Guatemala->Minister of Labor and Social Welfare
->,Q110184170->NULL,Francisco Coma Martín,Minister for Health and Social Assistance of Guatemala->Minister of Public Health and Social Assistance
->,Q110184167->NULL,Gendri Reyes Mazariegos,Minister of the Interior of Guatemala->Minister of the Interior
->,Q110184164->NULL,Álvaro González Ricci,Minister of Public Finance
->,Q110184161->NULL,Claudia Ruiz Casasola,Minister of Education of Guatemala->Minister of Education
->,Q110184160->NULL,Antonio Malouf Morales,Minister of the Economy of Guatemala->Minister of Economy
->,Q110184159->NULL,Raúl Romero Segura,Minister of Social Development of Guatemala->Minister of Social Development
->,Q110184158->NULL,Felipe Aguilar Marroquín,Minister of Culture and Sports of Guatemala->Minister of Culture and Sports
->,Q110184156->NULL,Javier Maldonado Quiñónez,"Minister of Communications, Infrastructure, and Housing->Minister of Communications, Infrastructure and Housing"
->,Q110184154->NULL,Mario Rojas Espino,Minister of Environment and Natural Resources  of Guatemala->Minister of Environment and Natural Resources
->,Q110184153->NULL,José Ángel López,"Minister of Agriculture, Livestock and Food of Guatemala->Minister of Agriculture, Livestock and Food"
---,Q2134696,Alejandro Giammattei,President of the Republic of Guatemala
+++,Q106615484,Edgar Godoy Samayoa,Minister of the Interior
+++,,Rafael Lobos Madrid,Minister of Labor and Social Welfare
+++,,María Amelia Flores,Minister of Public Health and Social Assistance
+++,,Hugo Monroy Castillo,Minister of Public Health and Social Assistance
+++,,Claudia Haydée Díaz León,Minister of the Interior
+++,,Oliverio García Rodas,Minister of the Interior
+++,,Alberto Pimentel Mata,Minister of Energy and Mines
+++,,Lidiette Martínez Cayetano,Minister of Culture and Sports
+++,,José Lemus Cifuentes,"Minister of Communications, Infrastructure and Housing"
+++,,Óscar Bonilla,"Minister of Agriculture, Livestock and Food"
